,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME_BLK,CANCELLED,DIVERTED,DISTANCE,ORIGIN_CITY,ORIGIN_STATE_OR_REGION,ORIGIN_FULL_NAME,GMT_DEP,DEST_CITY,DEST_STATE_OR_REGION,DEST_FULL_NAME,GMT_ARR
448957,22,2,MQ,MQ,N247NN,3566,ATL,ORD,1500-1559,1.0,0.0,606.0,Atlanta,GA,Georgia,5,Chicago,IL,Illinois,6
448958,22,2,MQ,MQ,N247NN,3566,ATL,ORD,1500-1559,1.0,0.0,606.0,Atlanta,GA,Georgia,5,Chicago,IL,Illinois,6
448959,22,2,MQ,MQ,N268NN,3566,ORD,ATL,1200-1259,1.0,0.0,606.0,Chicago,IL,Illinois,6,Atlanta,GA,Georgia,5
448960,22,2,MQ,MQ,N268NN,3566,ORD,ATL,1200-1259,1.0,0.0,606.0,Chicago,IL,Illinois,6,Atlanta,GA,Georgia,5
448968,22,2,MQ,MQ,N268NN,3576,ORD,XNA,1300-1359,1.0,0.0,522.0,Chicago,IL,Illinois,6,Fayetteville,AR,Arkansas,6
448969,22,2,MQ,MQ,N268NN,3576,ORD,XNA,1300-1359,1.0,0.0,522.0,Chicago,IL,Illinois,6,Fayetteville,AR,Arkansas,6
448970,22,2,MQ,MQ,N264NN,3576,XNA,ORD,1500-1559,1.0,0.0,522.0,Fayetteville,AR,Arkansas,6,Chicago,IL,Illinois,6
448971,22,2,MQ,MQ,N264NN,3576,XNA,ORD,1500-1559,1.0,0.0,522.0,Fayetteville,AR,Arkansas,6,Chicago,IL,Illinois,6
448974,22,2,MQ,MQ,N233NN,3578,ORD,XNA,1800-1859,1.0,0.0,522.0,Chicago,IL,Illinois,6,Fayetteville,AR,Arkansas,6
448975,22,2,MQ,MQ,N233NN,3578,ORD,XNA,1800-1859,1.0,0.0,522.0,Chicago,IL,Illinois,6,Fayetteville,AR,Arkansas,6
448977,22,2,MQ,MQ,N616AE,3580,FWA,ORD,1500-1559,1.0,0.0,157.0,Fort Wayne,IN,Indiana,5,Chicago,IL,Illinois,6
