,DESTINATION,DES_CITY,DES_STATE
345806,MOB,Mobile,AL 
346070,ROW,Roswell,NM 
346539,PIA,Peoria,IL 
346948,ABI,Abilene,TX 
347453,EVV,Evansville,IN 
347857,SBA,Santa Barbara,CA 
348497,MHK,Manhattan,KS 
348499,GRK,Killeen,TX 
350559,VPS,Fort Walton Beach,FL 
350775,SBP,San Luis Obispo,CA 
351463,FWA,Fort Wayne,IN 
352390,MGM,Montgomery,AL 
353032,SGF,Springfield,MO 
353372,RAP,Rapid City,SD 
353720,MRY,Monterey,CA 
354525,FSM,Fort Smith,AR 
354620,TYR,Tyler,TX 
355986,TXK,Texarkana,AR 
358494,ACT,Waco,TX 
358509,SPS,Wichita Falls,TX 
359919,CID,Cedar Rapids,IA 
360644,FLG,Flagstaff,AZ 
360880,YUM,Yuma,AZ 
361650,SAF,Santa Fe,NM 
364353,MLU,Monroe,LA 
366545,DRO,Durango,CO 
367330,TEX,Telluride,CO
367438,GJT,Grand Junction,CO 
371565,CMI,Champaign,IL 
372629,BIS,Bismarck,ND 
374957,CSG,Columbus,GA 
375993,AGS,Augusta,GA 
376490,CYS,Cheyenne,WY 
386733,CHA,Chattanooga,TN 
388638,CLL,College Station,TX 
390552,SJT,San Angelo,TX 
390574,GGG,Longview,TX 
398458,RST,Rochester,MN 
398567,LAN,Lansing,MI 
398937,ATW,Appleton,WI 
400246,DLH,Duluth,MN 
400664,AZO,Kalamazoo,MI 
400698,MBS,Saginaw,MI 
401370,MOT,Minot,ND 
401813,MQT,Marquette,MI 
402651,ELM,Elmira,NY 
402737,SBN,South Bend,IN 
403694,COU,Columbia,MO 
404450,ABR,Aberdeen,SD 
405120,SCE,State College,PA 
405452,AVP,Wilkes-Barre,PA 
405680,PLN,Pellston,MI 
406723,TVC,Traverse City,MI 
407521,LSE,La Crosse,WI 
407603,BGR,Bangor,ME 
407733,TRI,Tri-City Airport,TN 
409249,GFK,Grand Forks,ND 
412011,ITH,Ithaca,NY 
413425,ERI,Erie,PA 
413913,SPI,Springfield,IL 
417568,ROA,Roanoke,VA 
420481,DBQ,Dubuque,IA 
421948,BGM,Binghamton,NY 
431162,GTR,Columbus,MS 
432206,LNK,Lincoln,NE 
432606,LWB,Greenbrier,WV
434883,TOL,Toledo,OH 
438105,FCA,Kalispell,MT 
438547,CPR,Casper,WY 
438597,LWS,Lewiston,ID 
440276,PSC,Pasco,WA 
442405,MSO,Missoula,MT 
442522,IDA,Idaho Falls,ID 
443294,RDM,Redmond,OR 
443366,GTF,Great Falls,MT 
447347,BTM,Butte,MT 
448419,EUG,Eugene,OR 
449952,MFR,Medford,OR 
450645,HLN,Helena,MT 
455097,ABY,Albany,GA 
455164,FLO,Florence,SC 
455780,MEI,Meridian,MS 
456372,BQK,Brunswick,GA 
456659,OAJ,Jacksonville,NC 
457948,VLD,Valdosta,GA 
458716,CHO,Charlottesville,VA 
459573,GNV,Gainesville,FL 
459760,EWN,New Bern,NC 
460020,DHN,Dothan,AL 
467950,LYH,Lynchburg,VA 
482363,ASE,Aspen,CO 
482689,OTH,North Bend,OR 
484457,ACV,Eureka,CA
485658,PAH,Paducah,KY 
485806,GCC,Gillette,WY 
485895,IPL,El Centro,CA 
486124,IYK,Inyokern,CA 
488419,HTS,Huntington,WV 
491398,CWA,Wausau,WI 
491719,RKS,Rock Springs,WY 
493291,CMX,Hancock,MI 
496188,SMX,Santa Maria,CA 
497701,EAU,Eau Claire,WI 
501280,CEC,Crescent City,CA 
501367,MMH,Mammoth Lakes,CA
501533,CIC,Chico,CA 
501798,COD,Cody,WY 
501887,LMT,Klamath Falls,OR 
503419,CLD,Carlsbad,CA 
504744,MKG,Muskegon,MI 
509731,RDD,Redding,CA 
512730,MOD,Modesto,CA 
537431,CDC,Cedar City,UT
537542,EKO,Elko,NV 
537772,PIH,Pocatello,ID 
538026,SGU,St. George,UT 
538350,SUN,Sun Valley,ID 
538939,TWF,Twin Falls,ID 
